# accelerometer data
# file: 'rgbd_dataset_freiburg1_plant.bag'
# timestamp ax ay az
1305032350.214655 2.215177 9.447432 -0.910019
1305032350.215620 2.215177 9.447432 -0.910019
1305032350.219241 2.310969 9.160058 -0.910019
1305032350.220420 2.310969 9.160058 -0.910019
1305032350.223536 2.215177 8.788866 -0.957915
1305032350.224521 2.215177 8.788866 -0.957915
1305032350.228142 2.107412 8.728996 -1.005810
1305032350.229136 2.107412 8.728996 -1.005810
1305032350.232540 2.107412 8.393726 -1.293185
1305032350.233539 2.107412 8.393726 -1.293185
1305032350.234917 2.107412 8.393726 -1.293185
1305032350.236029 2.107412 8.393726 -1.293185
1305032350.239427 2.215177 8.202143 -1.197393
1305032350.240399 2.215177 8.202143 -1.197393
1305032350.243565 2.358865 8.369778 -1.293185
1305032350.244671 2.358865 8.369778 -1.293185
1305032350.248281 2.418734 8.681100 -1.305159
1305032350.249292 2.418734 8.681100 -1.305159
1305032350.252375 2.406760 8.968475 -1.293185
1305032350.253550 2.406760 8.968475 -1.293185
1305032350.254658 2.406760 8.968475 -1.293185
1305032350.255799 2.406760 8.968475 -1.293185
1305032350.259400 2.490578 9.351641 -0.957915
1305032350.260465 2.490578 9.351641 -0.957915
1305032350.263712 2.490578 9.830598 -0.910019
1305032350.264686 2.490578 9.830598 -0.910019
1305032350.268314 2.586369 10.117972 -1.101602
1305032350.269331 2.586369 10.117972 -1.101602
1305032350.272688 2.742030 10.309555 -1.101602
1305032350.273690 2.742030 10.309555 -1.101602
1305032350.274692 2.742030 10.309555 -1.101602
1305032350.278311 2.586369 10.680747 -1.101602
1305032350.279330 2.586369 10.680747 -1.101602
1305032350.282593 2.694135 10.596929 -1.293185
1305032350.283574 2.694135 10.596929 -1.293185
1305032350.287168 2.765978 10.405347 -1.484768
1305032350.288321 2.765978 10.405347 -1.484768
1305032350.289304 2.765978 10.405347 -1.484768
1305032350.292583 2.694135 10.309555 -1.676350
1305032350.293556 2.694135 10.309555 -1.676350
1305032350.297154 2.789926 10.285607 -1.963725
1305032350.298308 2.789926 10.285607 -1.963725
1305032350.299428 2.789926 10.285607 -1.963725
1305032350.300583 2.789926 10.285607 -1.963725
1305032350.303711 2.801900 10.022181 -2.442682
1305032350.304835 2.801900 10.022181 -2.442682
1305032350.308499 2.981509 9.926389 -2.825848
1305032350.309538 2.981509 9.926389 -2.825848
1305032350.312565 3.077300 9.734806 -3.113222
1305032350.313746 3.077300 9.734806 -3.113222
1305032350.317193 2.873744 9.639015 -3.209014
1305032350.318193 2.873744 9.639015 -3.209014
1305032350.319458 2.873744 9.639015 -3.209014
1305032350.320593 2.873744 9.639015 -3.209014
1305032350.323711 2.789926 9.543224 -3.496388
1305032350.324889 2.789926 9.543224 -3.496388
1305032350.328362 2.586369 9.543224 -3.304805
1305032350.329470 2.586369 9.543224 -3.304805
1305032350.332574 2.586369 9.591119 -3.232962
1305032350.333589 2.586369 9.591119 -3.232962
1305032350.337189 2.490578 9.591119 -3.113222
1305032350.338375 2.490578 9.591119 -3.113222
1305032350.339476 2.490578 9.591119 -3.113222
1305032350.340566 2.490578 9.591119 -3.113222
1305032350.343757 2.694135 9.830598 -2.849796
1305032350.344721 2.694135 9.830598 -2.849796
1305032350.348363 2.777952 9.974285 -2.442682
1305032350.349481 2.777952 9.974285 -2.442682
1305032350.352546 2.789926 10.117972 -2.059516
1305032350.353745 2.789926 10.117972 -2.059516
1305032350.357238 2.825848 10.309555 -1.867933
1305032350.358353 2.825848 10.309555 -1.867933
1305032350.359495 2.825848 10.309555 -1.867933
1305032350.360648 2.825848 10.309555 -1.867933
1305032350.363727 2.981509 10.405347 -1.484768
1305032350.364737 2.981509 10.405347 -1.484768
1305032350.368409 3.161118 10.309555 -1.580559
1305032350.369359 3.161118 10.309555 -1.580559
1305032350.372593 2.873744 10.405347 -1.293185
1305032350.373742 2.873744 10.405347 -1.293185
1305032350.377202 2.981509 10.309555 -1.388976
1305032350.378194 2.981509 10.309555 -1.388976
1305032350.379470 2.981509 10.309555 -1.388976
1305032350.380628 2.981509 10.309555 -1.388976
1305032350.383598 2.742030 10.501138 -1.341080
1305032350.384744 2.742030 10.501138 -1.341080
1305032350.388367 2.586369 10.692721 -1.484768
1305032350.389379 2.586369 10.692721 -1.484768
1305032350.392630 2.406760 10.788512 -1.676350
1305032350.393599 2.406760 10.788512 -1.676350
1305032350.395176 2.406760 10.788512 -1.676350
1305032350.396248 2.406760 10.788512 -1.676350
1305032350.399482 2.011621 11.267470 -1.867933
