# color images
# file: 'rgbd_dataset_freiburg1_plant.bag'
# timestamp filename
1305032353.993165 rgb/1305032353.993165.png
1305032354.025237 rgb/1305032354.025237.png
1305032354.057249 rgb/1305032354.057249.png
1305032354.093194 rgb/1305032354.093194.png
1305032354.125261 rgb/1305032354.125261.png
1305032354.157308 rgb/1305032354.157308.png
1305032354.193245 rgb/1305032354.193245.png
1305032354.225326 rgb/1305032354.225326.png
1305032354.257317 rgb/1305032354.257317.png
1305032354.293299 rgb/1305032354.293299.png
1305032354.325326 rgb/1305032354.325326.png
1305032354.357420 rgb/1305032354.357420.png
1305032354.394078 rgb/1305032354.394078.png
1305032354.425381 rgb/1305032354.425381.png
1305032354.457427 rgb/1305032354.457427.png
1305032354.493265 rgb/1305032354.493265.png
1305032354.525430 rgb/1305032354.525430.png
1305032354.557471 rgb/1305032354.557471.png
1305032354.593446 rgb/1305032354.593446.png
1305032354.625455 rgb/1305032354.625455.png
1305032354.657511 rgb/1305032354.657511.png
1305032354.693491 rgb/1305032354.693491.png
1305032354.725481 rgb/1305032354.725481.png
1305032354.757506 rgb/1305032354.757506.png
1305032354.793541 rgb/1305032354.793541.png
1305032354.825638 rgb/1305032354.825638.png
1305032354.857806 rgb/1305032354.857806.png
1305032354.893584 rgb/1305032354.893584.png
1305032354.925606 rgb/1305032354.925606.png
1305032354.957696 rgb/1305032354.957696.png
1305032354.993644 rgb/1305032354.993644.png
1305032355.025740 rgb/1305032355.025740.png
1305032355.057739 rgb/1305032355.057739.png
1305032355.093693 rgb/1305032355.093693.png
1305032355.126036 rgb/1305032355.126036.png
1305032355.157776 rgb/1305032355.157776.png
1305032355.193731 rgb/1305032355.193731.png
1305032355.226048 rgb/1305032355.226048.png
1305032355.258300 rgb/1305032355.258300.png
1305032355.293834 rgb/1305032355.293834.png
1305032355.325951 rgb/1305032355.325951.png
1305032355.357924 rgb/1305032355.357924.png
1305032355.393862 rgb/1305032355.393862.png
1305032355.426175 rgb/1305032355.426175.png
1305032355.458105 rgb/1305032355.458105.png
